# Mapping file for sectoral emisisons to Hector global total emissions,,,
variable,sector,hector_variable,source
BC,1A1a_Electricity-autoproducer,BC_emissions,CEDS
BC,1A1a_Electricity-public,BC_emissions,CEDS
BC,1A1a_Heat-production,BC_emissions,CEDS
BC,1A1bc_Other-transformation,BC_emissions,CEDS
BC,1A2a_Ind-Comb-Iron-steel,BC_emissions,CEDS
BC,1A2b_Ind-Comb-Non-ferrous-metals,BC_emissions,CEDS
BC,1A2c_Ind-Comb-Chemicals,BC_emissions,CEDS
BC,1A2d_Ind-Comb-Pulp-paper,BC_emissions,CEDS
BC,1A2e_Ind-Comb-Food-tobacco,BC_emissions,CEDS
BC,1A2f_Ind-Comb-Non-metalic-minerals,BC_emissions,CEDS
BC,1A2g_Ind-Comb-Construction,BC_emissions,CEDS
BC,1A2g_Ind-Comb-machinery,BC_emissions,CEDS
BC,1A2g_Ind-Comb-mining-quarying,BC_emissions,CEDS
BC,1A2g_Ind-Comb-other,BC_emissions,CEDS
BC,1A2g_Ind-Comb-textile-leather,BC_emissions,CEDS
BC,1A2g_Ind-Comb-transpequip,BC_emissions,CEDS
BC,1A2g_Ind-Comb-wood-products,BC_emissions,CEDS
BC,1A3ai_International-aviation,BC_emissions,CEDS
BC,1A3aii_Domestic-aviation,BC_emissions,CEDS
BC,1A3b_Road,BC_emissions,CEDS
BC,1A3c_Rail,BC_emissions,CEDS
BC,1A3di_International-shipping,BC_emissions,CEDS
BC,1A3di_Oil_Tanker_Loading,BC_emissions,CEDS
BC,1A3dii_Domestic-navigation,BC_emissions,CEDS
BC,1A3eii_Other-transp,BC_emissions,CEDS
BC,1A4a_Commercial-institutional,BC_emissions,CEDS
BC,1A4b_Residential,BC_emissions,CEDS
BC,1A4c_Agriculture-forestry-fishing,BC_emissions,CEDS
BC,1A5_Other-unspecified,BC_emissions,CEDS
BC,1B1_Fugitive-solid-fuels,BC_emissions,CEDS
BC,1B2_Fugitive-petr,BC_emissions,CEDS
BC,1B2b_Fugitive-NG-distr,BC_emissions,CEDS
BC,1B2b_Fugitive-NG-prod,BC_emissions,CEDS
BC,1B2d_Fugitive-other-energy,BC_emissions,CEDS
BC,2A1_Cement-production,BC_emissions,CEDS
BC,2A2_Lime-production,BC_emissions,CEDS
BC,2Ax_Other-minerals,BC_emissions,CEDS
BC,2B2_Chemicals-Nitric-acid,BC_emissions,CEDS
BC,2B3_Chemicals-Adipic-acid,BC_emissions,CEDS
BC,2B_Chemical-industry,BC_emissions,CEDS
BC,2C1_Iron-steel-alloy-prod,BC_emissions,CEDS
BC,2C3_Aluminum-production,BC_emissions,CEDS
BC,2C4_Non-Ferrous-other-metals,BC_emissions,CEDS
BC,2D_Chemical-products-manufacture-processing,BC_emissions,CEDS
BC,2D_Degreasing-Cleaning,BC_emissions,CEDS
BC,2D_Other-product-use,BC_emissions,CEDS
BC,2D_Paint-application,BC_emissions,CEDS
BC,2H_Pulp-and-paper-food-beverage-wood,BC_emissions,CEDS
BC,2L_Other-process-emissions,BC_emissions,CEDS
BC,3B_Manure-management,BC_emissions,CEDS
BC,3D_Rice-Cultivation,BC_emissions,CEDS
BC,3D_Soil-emissions,BC_emissions,CEDS
BC,3E_Enteric-fermentation,BC_emissions,CEDS
BC,3I_Agriculture-other,BC_emissions,CEDS
BC,5A_Solid-waste-disposal,BC_emissions,CEDS
BC,5C_Waste-combustion,BC_emissions,CEDS
BC,5D_Wastewater-handling,BC_emissions,CEDS
BC,5E_Other-waste-handling,BC_emissions,CEDS
BC,6A_Other-in-total,BC_emissions,CEDS
BC,6B_Other-not-in-total,BC_emissions,CEDS
BC,7A_Fossil-fuel-fires,BC_emissions,CEDS
BC,7BC_Indirect-N2O-non-agricultural-N,BC_emissions,CEDS
CH4_Extension,1A1a_Electricity-autoproducer,CH4_emissions,CEDS
CH4_Extension,1A1a_Electricity-public,CH4_emissions,CEDS
CH4_Extension,1A1a_Heat-production,CH4_emissions,CEDS
CH4_Extension,1A1bc_Other-transformation,CH4_emissions,CEDS
CH4_Extension,1A2a_Ind-Comb-Iron-steel,CH4_emissions,CEDS
CH4_Extension,1A2b_Ind-Comb-Non-ferrous-metals,CH4_emissions,CEDS
CH4_Extension,1A2c_Ind-Comb-Chemicals,CH4_emissions,CEDS
CH4_Extension,1A2d_Ind-Comb-Pulp-paper,CH4_emissions,CEDS
CH4_Extension,1A2e_Ind-Comb-Food-tobacco,CH4_emissions,CEDS
CH4_Extension,1A2f_Ind-Comb-Non-metalic-minerals,CH4_emissions,CEDS
CH4_Extension,1A2g_Ind-Comb-Construction,CH4_emissions,CEDS
CH4_Extension,1A2g_Ind-Comb-machinery,CH4_emissions,CEDS
CH4_Extension,1A2g_Ind-Comb-mining-quarying,CH4_emissions,CEDS
CH4_Extension,1A2g_Ind-Comb-other,CH4_emissions,CEDS
CH4_Extension,1A2g_Ind-Comb-textile-leather,CH4_emissions,CEDS
CH4_Extension,1A2g_Ind-Comb-transpequip,CH4_emissions,CEDS
CH4_Extension,1A2g_Ind-Comb-wood-products,CH4_emissions,CEDS
CH4_Extension,1A3ai_International-aviation,CH4_emissions,CEDS
CH4_Extension,1A3aii_Domestic-aviation,CH4_emissions,CEDS
CH4_Extension,1A3b_Road,CH4_emissions,CEDS
CH4_Extension,1A3c_Rail,CH4_emissions,CEDS
CH4_Extension,1A3di_International-shipping,CH4_emissions,CEDS
CH4_Extension,1A3di_Oil_Tanker_Loading,CH4_emissions,CEDS
CH4_Extension,1A3dii_Domestic-navigation,CH4_emissions,CEDS
CH4_Extension,1A3eii_Other-transp,CH4_emissions,CEDS
CH4_Extension,1A4a_Commercial-institutional,CH4_emissions,CEDS
CH4_Extension,1A4b_Residential,CH4_emissions,CEDS
CH4_Extension,1A4c_Agriculture-forestry-fishing,CH4_emissions,CEDS
CH4_Extension,1A5_Other-unspecified,CH4_emissions,CEDS
CH4_Extension,1B1_Fugitive-solid-fuels,CH4_emissions,CEDS
CH4_Extension,1B2_Fugitive-petr,CH4_emissions,CEDS
CH4_Extension,1B2b_Fugitive-NG-distr,CH4_emissions,CEDS
CH4_Extension,1B2b_Fugitive-NG-prod,CH4_emissions,CEDS
CH4_Extension,1B2d_Fugitive-other-energy,CH4_emissions,CEDS
CH4_Extension,2A1_Cement-production,CH4_emissions,CEDS
CH4_Extension,2A2_Lime-production,CH4_emissions,CEDS
CH4_Extension,2Ax_Other-minerals,CH4_emissions,CEDS
CH4_Extension,2B2_Chemicals-Nitric-acid,CH4_emissions,CEDS
CH4_Extension,2B3_Chemicals-Adipic-acid,CH4_emissions,CEDS
CH4_Extension,2B_Chemical-industry,CH4_emissions,CEDS
CH4_Extension,2C1_Iron-steel-alloy-prod,CH4_emissions,CEDS
CH4_Extension,2C3_Aluminum-production,CH4_emissions,CEDS
CH4_Extension,2C4_Non-Ferrous-other-metals,CH4_emissions,CEDS
CH4_Extension,2D_Chemical-products-manufacture-processing,CH4_emissions,CEDS
CH4_Extension,2D_Degreasing-Cleaning,CH4_emissions,CEDS
CH4_Extension,2D_Other-product-use,CH4_emissions,CEDS
CH4_Extension,2D_Paint-application,CH4_emissions,CEDS
CH4_Extension,2H_Pulp-and-paper-food-beverage-wood,CH4_emissions,CEDS
CH4_Extension,2L_Other-process-emissions,CH4_emissions,CEDS
CH4_Extension,3B_Manure-management,CH4_emissions,CEDS
CH4_Extension,3D_Rice-Cultivation,CH4_emissions,CEDS
CH4_Extension,3D_Soil-emissions,CH4_emissions,CEDS
CH4_Extension,3E_Enteric-fermentation,CH4_emissions,CEDS
CH4_Extension,3I_Agriculture-other,CH4_emissions,CEDS
CH4_Extension,5A_Solid-waste-disposal,CH4_emissions,CEDS
CH4_Extension,5C_Waste-combustion,CH4_emissions,CEDS
CH4_Extension,5D_Wastewater-handling,CH4_emissions,CEDS
CH4_Extension,5E_Other-waste-handling,CH4_emissions,CEDS
CH4_Extension,6A_Other-in-total,CH4_emissions,CEDS
CH4_Extension,6B_Other-not-in-total,CH4_emissions,CEDS
CH4_Extension,7A_Fossil-fuel-fires,CH4_emissions,CEDS
CH4_Extension,7BC_Indirect-N2O-non-agricultural-N,CH4_emissions,CEDS
CO,1A1a_Electricity-autoproducer,CO_emissions,CEDS
CO,1A1a_Electricity-public,CO_emissions,CEDS
CO,1A1a_Heat-production,CO_emissions,CEDS
CO,1A1bc_Other-transformation,CO_emissions,CEDS
CO,1A2a_Ind-Comb-Iron-steel,CO_emissions,CEDS
CO,1A2b_Ind-Comb-Non-ferrous-metals,CO_emissions,CEDS
CO,1A2c_Ind-Comb-Chemicals,CO_emissions,CEDS
CO,1A2d_Ind-Comb-Pulp-paper,CO_emissions,CEDS
CO,1A2e_Ind-Comb-Food-tobacco,CO_emissions,CEDS
CO,1A2f_Ind-Comb-Non-metalic-minerals,CO_emissions,CEDS
CO,1A2g_Ind-Comb-Construction,CO_emissions,CEDS
CO,1A2g_Ind-Comb-machinery,CO_emissions,CEDS
CO,1A2g_Ind-Comb-mining-quarying,CO_emissions,CEDS
CO,1A2g_Ind-Comb-other,CO_emissions,CEDS
CO,1A2g_Ind-Comb-textile-leather,CO_emissions,CEDS
CO,1A2g_Ind-Comb-transpequip,CO_emissions,CEDS
CO,1A2g_Ind-Comb-wood-products,CO_emissions,CEDS
CO,1A3ai_International-aviation,CO_emissions,CEDS
CO,1A3aii_Domestic-aviation,CO_emissions,CEDS
CO,1A3b_Road,CO_emissions,CEDS
CO,1A3c_Rail,CO_emissions,CEDS
CO,1A3di_International-shipping,CO_emissions,CEDS
CO,1A3di_Oil_Tanker_Loading,CO_emissions,CEDS
CO,1A3dii_Domestic-navigation,CO_emissions,CEDS
CO,1A3eii_Other-transp,CO_emissions,CEDS
CO,1A4a_Commercial-institutional,CO_emissions,CEDS
CO,1A4b_Residential,CO_emissions,CEDS
CO,1A4c_Agriculture-forestry-fishing,CO_emissions,CEDS
CO,1A5_Other-unspecified,CO_emissions,CEDS
CO,1B1_Fugitive-solid-fuels,CO_emissions,CEDS
CO,1B2_Fugitive-petr,CO_emissions,CEDS
CO,1B2b_Fugitive-NG-distr,CO_emissions,CEDS
CO,1B2b_Fugitive-NG-prod,CO_emissions,CEDS
CO,1B2d_Fugitive-other-energy,CO_emissions,CEDS
CO,2A1_Cement-production,CO_emissions,CEDS
CO,2A2_Lime-production,CO_emissions,CEDS
CO,2Ax_Other-minerals,CO_emissions,CEDS
CO,2B2_Chemicals-Nitric-acid,CO_emissions,CEDS
CO,2B3_Chemicals-Adipic-acid,CO_emissions,CEDS
CO,2B_Chemical-industry,CO_emissions,CEDS
CO,2C1_Iron-steel-alloy-prod,CO_emissions,CEDS
CO,2C3_Aluminum-production,CO_emissions,CEDS
CO,2C4_Non-Ferrous-other-metals,CO_emissions,CEDS
CO,2D_Chemical-products-manufacture-processing,CO_emissions,CEDS
CO,2D_Degreasing-Cleaning,CO_emissions,CEDS
CO,2D_Other-product-use,CO_emissions,CEDS
CO,2D_Paint-application,CO_emissions,CEDS
CO,2H_Pulp-and-paper-food-beverage-wood,CO_emissions,CEDS
CO,2L_Other-process-emissions,CO_emissions,CEDS
CO,3B_Manure-management,CO_emissions,CEDS
CO,3D_Rice-Cultivation,CO_emissions,CEDS
CO,3D_Soil-emissions,CO_emissions,CEDS
CO,3E_Enteric-fermentation,CO_emissions,CEDS
CO,3I_Agriculture-other,CO_emissions,CEDS
CO,5A_Solid-waste-disposal,CO_emissions,CEDS
CO,5C_Waste-combustion,CO_emissions,CEDS
CO,5D_Wastewater-handling,CO_emissions,CEDS
CO,5E_Other-waste-handling,CO_emissions,CEDS
CO,6A_Other-in-total,CO_emissions,CEDS
CO,6B_Other-not-in-total,CO_emissions,CEDS
CO,7A_Fossil-fuel-fires,CO_emissions,CEDS
CO,7BC_Indirect-N2O-non-agricultural-N,CO_emissions,CEDS
CO2,1A1a_Electricity-autoproducer,ffi_emissions,CEDS
CO2,1A1a_Electricity-public,ffi_emissions,CEDS
CO2,1A1a_Heat-production,ffi_emissions,CEDS
CO2,1A1bc_Other-transformation,ffi_emissions,CEDS
CO2,1A2a_Ind-Comb-Iron-steel,ffi_emissions,CEDS
CO2,1A2b_Ind-Comb-Non-ferrous-metals,ffi_emissions,CEDS
CO2,1A2c_Ind-Comb-Chemicals,ffi_emissions,CEDS
CO2,1A2d_Ind-Comb-Pulp-paper,ffi_emissions,CEDS
CO2,1A2e_Ind-Comb-Food-tobacco,ffi_emissions,CEDS
CO2,1A2f_Ind-Comb-Non-metalic-minerals,ffi_emissions,CEDS
CO2,1A2g_Ind-Comb-Construction,ffi_emissions,CEDS
CO2,1A2g_Ind-Comb-machinery,ffi_emissions,CEDS
CO2,1A2g_Ind-Comb-mining-quarying,ffi_emissions,CEDS
CO2,1A2g_Ind-Comb-other,ffi_emissions,CEDS
CO2,1A2g_Ind-Comb-textile-leather,ffi_emissions,CEDS
CO2,1A2g_Ind-Comb-transpequip,ffi_emissions,CEDS
CO2,1A2g_Ind-Comb-wood-products,ffi_emissions,CEDS
CO2,1A3ai_International-aviation,ffi_emissions,CEDS
CO2,1A3aii_Domestic-aviation,ffi_emissions,CEDS
CO2,1A3b_Road,ffi_emissions,CEDS
CO2,1A3c_Rail,ffi_emissions,CEDS
CO2,1A3di_International-shipping,ffi_emissions,CEDS
CO2,1A3di_Oil_Tanker_Loading,ffi_emissions,CEDS
CO2,1A3dii_Domestic-navigation,ffi_emissions,CEDS
CO2,1A3eii_Other-transp,ffi_emissions,CEDS
CO2,1A4a_Commercial-institutional,ffi_emissions,CEDS
CO2,1A4b_Residential,ffi_emissions,CEDS
CO2,1A4c_Agriculture-forestry-fishing,ffi_emissions,CEDS
CO2,1A5_Other-unspecified,ffi_emissions,CEDS
CO2,1B1_Fugitive-solid-fuels,ffi_emissions,CEDS
CO2,1B2_Fugitive-petr,ffi_emissions,CEDS
CO2,1B2b_Fugitive-NG-distr,ffi_emissions,CEDS
CO2,1B2b_Fugitive-NG-prod,ffi_emissions,CEDS
CO2,1B2d_Fugitive-other-energy,ffi_emissions,CEDS
CO2,2A1_Cement-production,ffi_emissions,CEDS
CO2,2A2_Lime-production,ffi_emissions,CEDS
CO2,2Ax_Other-minerals,ffi_emissions,CEDS
CO2,2B2_Chemicals-Nitric-acid,ffi_emissions,CEDS
CO2,2B3_Chemicals-Adipic-acid,ffi_emissions,CEDS
CO2,2B_Chemical-industry,ffi_emissions,CEDS
CO2,2C1_Iron-steel-alloy-prod,ffi_emissions,CEDS
CO2,2C3_Aluminum-production,ffi_emissions,CEDS
CO2,2C4_Non-Ferrous-other-metals,ffi_emissions,CEDS
CO2,2D_Chemical-products-manufacture-processing,ffi_emissions,CEDS
CO2,2D_Degreasing-Cleaning,ffi_emissions,CEDS
CO2,2D_Other-product-use,ffi_emissions,CEDS
CO2,2D_Paint-application,ffi_emissions,CEDS
CO2,2H_Pulp-and-paper-food-beverage-wood,ffi_emissions,CEDS
CO2,2L_Other-process-emissions,ffi_emissions,CEDS
CO2,3B_Manure-management,ffi_emissions,CEDS
CO2,3D_Rice-Cultivation,ffi_emissions,CEDS
CO2,3D_Soil-emissions,ffi_emissions,CEDS
CO2,3E_Enteric-fermentation,ffi_emissions,CEDS
CO2,3I_Agriculture-other,ffi_emissions,CEDS
CO2,5A_Solid-waste-disposal,ffi_emissions,CEDS
CO2,5C_Waste-combustion,ffi_emissions,CEDS
CO2,5D_Wastewater-handling,ffi_emissions,CEDS
CO2,5E_Other-waste-handling,ffi_emissions,CEDS
CO2,6A_Other-in-total,ffi_emissions,CEDS
CO2,6B_Other-not-in-total,ffi_emissions,CEDS
CO2,7A_Fossil-fuel-fires,ffi_emissions,CEDS
CO2,7BC_Indirect-N2O-non-agricultural-N,ffi_emissions,CEDS
N2O_Extension,1A1a_Electricity-autoproducer,N2O_emissions,CEDS
N2O_Extension,1A1a_Electricity-public,N2O_emissions,CEDS
N2O_Extension,1A1a_Heat-production,N2O_emissions,CEDS
N2O_Extension,1A1bc_Other-transformation,N2O_emissions,CEDS
N2O_Extension,1A2a_Ind-Comb-Iron-steel,N2O_emissions,CEDS
N2O_Extension,1A2b_Ind-Comb-Non-ferrous-metals,N2O_emissions,CEDS
N2O_Extension,1A2c_Ind-Comb-Chemicals,N2O_emissions,CEDS
N2O_Extension,1A2d_Ind-Comb-Pulp-paper,N2O_emissions,CEDS
N2O_Extension,1A2e_Ind-Comb-Food-tobacco,N2O_emissions,CEDS
N2O_Extension,1A2f_Ind-Comb-Non-metalic-minerals,N2O_emissions,CEDS
N2O_Extension,1A2g_Ind-Comb-Construction,N2O_emissions,CEDS
N2O_Extension,1A2g_Ind-Comb-machinery,N2O_emissions,CEDS
N2O_Extension,1A2g_Ind-Comb-mining-quarying,N2O_emissions,CEDS
N2O_Extension,1A2g_Ind-Comb-other,N2O_emissions,CEDS
N2O_Extension,1A2g_Ind-Comb-textile-leather,N2O_emissions,CEDS
N2O_Extension,1A2g_Ind-Comb-transpequip,N2O_emissions,CEDS
N2O_Extension,1A2g_Ind-Comb-wood-products,N2O_emissions,CEDS
N2O_Extension,1A3ai_International-aviation,N2O_emissions,CEDS
N2O_Extension,1A3aii_Domestic-aviation,N2O_emissions,CEDS
N2O_Extension,1A3b_Road,N2O_emissions,CEDS
N2O_Extension,1A3c_Rail,N2O_emissions,CEDS
N2O_Extension,1A3di_International-shipping,N2O_emissions,CEDS
N2O_Extension,1A3di_Oil_Tanker_Loading,N2O_emissions,CEDS
N2O_Extension,1A3dii_Domestic-navigation,N2O_emissions,CEDS
N2O_Extension,1A3eii_Other-transp,N2O_emissions,CEDS
N2O_Extension,1A4a_Commercial-institutional,N2O_emissions,CEDS
N2O_Extension,1A4b_Residential,N2O_emissions,CEDS
N2O_Extension,1A4c_Agriculture-forestry-fishing,N2O_emissions,CEDS
N2O_Extension,1A5_Other-unspecified,N2O_emissions,CEDS
N2O_Extension,1B1_Fugitive-solid-fuels,N2O_emissions,CEDS
N2O_Extension,1B2_Fugitive-petr,N2O_emissions,CEDS
N2O_Extension,1B2b_Fugitive-NG-distr,N2O_emissions,CEDS
N2O_Extension,1B2b_Fugitive-NG-prod,N2O_emissions,CEDS
N2O_Extension,1B2d_Fugitive-other-energy,N2O_emissions,CEDS
N2O_Extension,2A1_Cement-production,N2O_emissions,CEDS
N2O_Extension,2A2_Lime-production,N2O_emissions,CEDS
N2O_Extension,2Ax_Other-minerals,N2O_emissions,CEDS
N2O_Extension,2B2_Chemicals-Nitric-acid,N2O_emissions,CEDS
N2O_Extension,2B3_Chemicals-Adipic-acid,N2O_emissions,CEDS
N2O_Extension,2B_Chemical-industry,N2O_emissions,CEDS
N2O_Extension,2C1_Iron-steel-alloy-prod,N2O_emissions,CEDS
N2O_Extension,2C3_Aluminum-production,N2O_emissions,CEDS
N2O_Extension,2C4_Non-Ferrous-other-metals,N2O_emissions,CEDS
N2O_Extension,2D_Chemical-products-manufacture-processing,N2O_emissions,CEDS
N2O_Extension,2D_Degreasing-Cleaning,N2O_emissions,CEDS
N2O_Extension,2D_Other-product-use,N2O_emissions,CEDS
N2O_Extension,2D_Paint-application,N2O_emissions,CEDS
N2O_Extension,2H_Pulp-and-paper-food-beverage-wood,N2O_emissions,CEDS
N2O_Extension,2L_Other-process-emissions,N2O_emissions,CEDS
N2O_Extension,3B_Manure-management,N2O_emissions,CEDS
N2O_Extension,3D_Rice-Cultivation,N2O_emissions,CEDS
N2O_Extension,3D_Soil-emissions,N2O_emissions,CEDS
N2O_Extension,3E_Enteric-fermentation,N2O_emissions,CEDS
N2O_Extension,3I_Agriculture-other,N2O_emissions,CEDS
N2O_Extension,5A_Solid-waste-disposal,N2O_emissions,CEDS
N2O_Extension,5C_Waste-combustion,N2O_emissions,CEDS
N2O_Extension,5D_Wastewater-handling,N2O_emissions,CEDS
