# Map BB4CMIP emissions to hector units and variable name,,,,,
# cf is the conversion factor from BB4CMIP to Hector,,,,,
variable,units,cf,hector_variable,hector_units,cf_notes
BC,Mt BC/yr,1,BC_emissions,Tg, 
CH4,Mt CH4/yr,1,CH4_emissions,Tg CH4, 
CO,Mt CO/yr,1,CO_emissions,Tg CO, 
N2O,kt N2O/yr,0.00063648,N2O_emissions,Tg N,(2 *14.0067/44.013 ) * 0.001
NH3,Mt NH3/yr,1,NH3_emissions,Tg, 
VOC,Mt VOC/yr,1,NMVOC_emissions,Tg NMVOC, 
NOx,Mt NO2/yr,0.304457076,NOX_emissions,Tg N,(14.0067/46.0055 )   * 1
OC,Mt OC/yr,1,OC_emissions,Tg, 
Sulfur,Mt SO2/yr,500.7800312,SO2_emissions,Gg S,(32.1/64.1)*1000