variable,units,name
C2F6_concentration,ppt,C2F6
C3F8_concentration,ppt,C3F8
C7F16_concentration,ppt,C7F16
C8F18_concentration,ppt,C8F18
CCl4_concentration,ppt,CCl4
CF4_concentration,ppt,CF4
CFC.11_concentration,ppt,CFC11
CFC.112_concentration,ppt,CFC112
CFC.112a_concentration,ppt,CFC112a
CFC.113_concentration,ppt,CFC113
CFC.113a_concentration,ppt,CFC113a
CFC.114_concentration,ppt,CFC114
CFC.114a_concentration,ppt,CFC114a
CFC.115_concentration,ppt,CFC115
CFC.12_concentration,ppt,CFC12
CFC.13_concentration,ppt,CFC13
CH2Cl2_concentration,ppt,CH2Cl2
CH3Br_concentration,ppt,CH3Br
CH3CCl3_concentration,ppt,CH3CCl3
CH3Cl_concentration,ppt,CH3Cl
CH4_concentration,ppb,CH4
CHCl3_concentration,ppt,CHCl3
CO2_concentration,ppm,CO2
HCFC.124_concentration,ppt,HCFC124
HCFC.133a_concentration,ppt,HCFC133a
HCFC.141b_concentration,ppt,HCFC141b
HCFC.142b_concentration,ppt,HCFC142b
HCFC.22_concentration,ppt,HCFC22
HCFC.31_concentration,ppt,HCFC31
HFC.125_concentration,ppt,HFC125
HFC.134a_concentration,ppt,HFC134a
HFC.143a_concentration,ppt,HFC143a
HFC.152a_concentration,ppt,HFC152a
HFC.227ea_concentration,ppt,HFC227ea
HFC.23_concentration,ppt,HFC23
HFC.236fa_concentration,ppt,HFC236fa
HFC.245fa_concentration,ppt,HFC245fa
HFC.32_concentration,ppt,HFC32
HFC.365mfc_concentration,ppt,HFC365mfc
HFC.43.10mee_concentration,ppt,HFC4310
Halon.1211_concentration,ppt,halon1211
Halon.1301_concentration,ppt,halon1301
Halon.2402_concentration,ppt,halon2402
N2O_concentration,ppb,N2O
NF3_concentration,ppt,NF3
SF6_concentration,ppt,SF6
SO2F2_concentration,ppt,SO2F2
c.C4F8_concentration,ppt,cC4F8
i.C6F14_concentration,ppt,iC6F14
n.C4F10_concentration,ppt,nC4F10
n.C5F12_concentration,ppt,nC5F12
n.C6F14_concentration,ppt,nC6F14